week,sentiment
1987-02-16/1987-02-22,0.35015
1987-02-23/1987-03-01,0.8286
1987-03-09/1987-03-15,0.5000333333333333
1987-03-16/1987-03-22,-0.04282500000000003
1987-03-23/1987-03-29,0.0
1987-03-30/1987-04-05,0.07145000000000001
1987-04-06/1987-04-12,0.17413333333333333
1987-04-20/1987-04-26,0.25889999999999996
1987-04-27/1987-05-03,0.5820666666666666
1987-05-04/1987-05-10,-0.2997
1987-05-11/1987-05-17,0.2821
1987-05-18/1987-05-24,0.5696333333333333
1987-05-25/1987-05-31,0.25
1987-06-01/1987-06-07,0.12006666666666665
1987-06-08/1987-06-14,0.0
1987-06-15/1987-06-21,0.67765
1987-06-22/1987-06-28,0.45726666666666665
1987-06-29/1987-07-05,-0.07962500000000003
1987-07-06/1987-07-12,0.3544
1987-07-13/1987-07-19,-0.01535000000000003
1987-07-20/1987-07-26,0.4143
1987-07-27/1987-08-02,0.7644500000000001
1987-08-03/1987-08-09,0.3767666666666667
1987-08-10/1987-08-16,0.49274999999999997
1987-08-17/1987-08-23,0.07145000000000001
1987-08-24/1987-08-30,-0.2997
1987-08-31/1987-09-06,0.5393
1987-09-07/1987-09-13,0.7003
1987-09-14/1987-09-20,-0.04930000000000001
1987-09-21/1987-09-27,0.31606666666666666
1987-09-28/1987-10-04,0.07022499999999998
1987-10-05/1987-10-11,0.8286
1987-10-12/1987-10-18,0.20056666666666667
1987-10-19/1987-10-25,0.3544
1987-10-26/1987-11-01,0.5267
1987-11-02/1987-11-08,0.1876
1987-11-09/1987-11-15,-0.04930000000000001
1987-11-23/1987-11-29,0.5267
1987-11-30/1987-12-06,0.409
1987-12-07/1987-12-13,-0.17470000000000002
1987-12-14/1987-12-20,-0.04930000000000001
1987-12-21/1987-12-27,0.44015
1987-12-28/1988-01-03,0.7053333333333334
1988-01-04/1988-01-10,0.25889999999999996
1988-01-11/1988-01-17,-0.5784
1988-01-18/1988-01-24,0.44015
1988-01-25/1988-01-31,0.7003
1988-02-08/1988-02-14,0.22383333333333333
